epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,577.805,1.30849,3.26834,1.16753,0.40644,0.25712,0.28976,0.1916,1.05878,1.59827,1.02092,3.88227e-05,3.88227e-05,3.88227e-05
2,1113.13,1.14895,1.30616,1.05793,0.66285,0.35605,0.41105,0.27872,1.00939,1.01045,0.97734,7.69353e-05,7.69353e-05,7.69353e-05
3,1682.17,1.09461,0.9937,1.01789,0.59834,0.495,0.51632,0.34793,0.99659,0.89463,0.9656,0.000113477,0.000113477,0.000113477
4,2258.36,1.05888,0.88269,0.99895,0.66062,0.5336,0.56994,0.38424,0.972,0.81969,0.96056,0.000111931,0.000111931,0.000111931
5,2667.29,1.01698,0.84316,0.98495,0.63346,0.59128,0.5891,0.39357,0.9529,0.78947,0.95195,0.000109575,0.000109575,0.000109575
6,3049.33,1.01483,0.79422,0.97567,0.68504,0.61878,0.63554,0.43285,0.93723,0.74484,0.94464,0.000107219,0.000107219,0.000107219
7,3765.12,0.98471,0.75675,0.9648,0.71621,0.60903,0.63907,0.4328,0.93482,0.74539,0.94459,0.000104863,0.000104863,0.000104863
8,4205.53,0.97551,0.72058,0.96511,0.65342,0.65333,0.64177,0.43753,0.92525,0.72182,0.94363,0.000102507,0.000102507,0.000102507
9,4647.57,0.97159,0.72124,0.95953,0.72933,0.65015,0.67353,0.45163,0.91618,0.69905,0.93973,0.00010015,0.00010015,0.00010015
10,5052.69,0.95953,0.69776,0.9602,0.68493,0.64783,0.66743,0.45022,0.91587,0.71907,0.93727,9.77942e-05,9.77942e-05,9.77942e-05
11,5561.2,0.95867,0.70239,0.95568,0.68063,0.6647,0.67402,0.45122,0.9171,0.71236,0.94307,9.5438e-05,9.5438e-05,9.5438e-05
12,6013.98,0.94496,0.68502,0.94807,0.74828,0.62305,0.68874,0.45753,0.91425,0.70354,0.94041,9.30818e-05,9.30818e-05,9.30818e-05
